time	V(audio_out)
3.671225167335229e-003	3.471352e+000
3.672840205523577e-003	3.467886e+000
3.674438327195921e-003	3.466644e+000
3.676291163376272e-003	3.468067e+000
3.678601535663522e-003	3.474480e+000
3.682345183569763e-003	3.495736e+000
3.687227996069763e-003	3.544350e+000
3.692110808569763e-003	3.623005e+000
3.695545632450108e-003	3.712659e+000
3.699008020030064e-003	3.858215e+000
3.702652907032758e-003	4.087081e+000
3.705699666355315e-003	4.349715e+000
3.709063943032524e-003	4.707355e+000
3.711805150235237e-003	5.031205e+000
3.713308344154438e-003	5.212487e+000
3.714195039815357e-003	5.312323e+000
3.714828257201474e-003	5.374897e+000
3.715147087229952e-003	5.401236e+000
3.715620778846424e-003	5.432266e+000
3.716290104116984e-003	5.465333e+000
3.716931242095283e-003	5.487401e+000
3.717498047844924e-003	5.500269e+000
3.718093043558597e-003	5.509099e+000
3.718931334647430e-003	5.517259e+000
3.719876009586780e-003	5.523281e+000
3.721001004384979e-003	5.527884e+000
3.722388041429055e-003	5.531252e+000
3.724356795457361e-003	5.533122e+000
3.726260822788641e-003	5.531905e+000
3.728552192760028e-003	5.525663e+000
3.732265617287135e-003	5.504789e+000
3.737148429787135e-003	5.456608e+000
3.742031242287135e-003	5.378222e+000
3.745589956507257e-003	5.285241e+000
3.749075889941129e-003	5.137913e+000
3.752731254077887e-003	4.906409e+000
3.755822926039648e-003	4.637815e+000
3.759203476751324e-003	4.276880e+000
3.761730636918580e-003	3.977535e+000
3.763229811846798e-003	3.795871e+000
3.764099088690484e-003	3.697465e+000
3.764838733653584e-003	3.623871e+000
3.765155383021566e-003	3.597724e+000
3.765658214338805e-003	3.564984e+000
3.766250272966929e-003	3.535353e+000
3.766775972346382e-003	3.516587e+000
3.767362404045493e-003	3.502410e+000
3.768035453933874e-003	3.491695e+000
3.768897909731438e-003	3.482898e+000
3.769792789282796e-003	3.477040e+000
3.770892525498888e-003	3.472411e+000
3.772241818015192e-003	3.468958e+000
3.774168620383959e-003	3.466914e+000
3.776190754067994e-003	3.467988e+000
3.778438229111133e-003	3.473843e+000
3.782081768109694e-003	3.493845e+000
3.786964580609694e-003	3.541031e+000
3.791847393109694e-003	3.617804e+000
3.795417525870661e-003	3.708882e+000
3.798871827316724e-003	3.851399e+000
3.802532768836292e-003	4.077777e+000
3.805524768898581e-003	4.332578e+000
3.808876852039067e-003	4.686713e+000
3.811949190240715e-003	5.048207e+000
3.813446751845199e-003	5.227087e+000
3.814378541103793e-003	5.330366e+000
3.814881897104092e-003	5.378824e+000
3.815211617742631e-003	5.405336e+000
3.815653349371537e-003	5.433746e+000
3.816329485875219e-003	5.466488e+000
3.816978024864862e-003	5.488251e+000
3.817613032549671e-003	5.502058e+000
3.818232076432908e-003	5.510714e+000
3.819093591920849e-003	5.518504e+000
3.820021620612786e-003	5.524008e+000
3.821219691586783e-003	5.528563e+000
3.822629290123943e-003	5.531788e+000
3.824254767847245e-003	5.533212e+000
3.826222839932105e-003	5.531937e+000
3.828490417187479e-003	5.525907e+000
3.832165973154287e-003	5.505510e+000
3.837048785654287e-003	5.457868e+000
3.841931598154287e-003	5.380602e+000
3.845428389549733e-003	5.291047e+000
3.848864009817339e-003	5.149092e+000
3.852525102384654e-003	4.922677e+000
3.855533050718785e-003	4.666430e+000
3.858902984654281e-003	4.310250e+000
3.861958193904103e-003	3.950709e+000
3.863465328617066e-003	3.770959e+000
3.864412198103441e-003	3.666455e+000
3.864906840616027e-003	3.619215e+000
3.865239700018657e-003	3.592779e+000
3.865691583321461e-003	3.564141e+000
3.866359509339294e-003	3.532341e+000
3.867005267841915e-003	3.511046e+000
3.867634336853579e-003	3.497579e+000
3.868272132848967e-003	3.488806e+000
3.869136755990888e-003	3.481139e+000
3.870094596338323e-003	3.475598e+000
3.871284963522175e-003	3.471185e+000
3.872705036987090e-003	3.468013e+000
3.874232518596819e-003	3.466713e+000
3.876214554513621e-003	3.468011e+000
3.878476941141779e-003	3.473996e+000
3.882144231888608e-003	3.494290e+000
3.887027044388608e-003	3.541812e+000
3.891909856888608e-003	3.619015e+000
3.895444090256460e-003	3.709538e+000
3.898878247461198e-003	3.851643e+000
3.902549303831187e-003	4.079327e+000
3.905584613541790e-003	4.338612e+000
3.908956651594160e-003	4.695589e+000
3.911916693780589e-003	5.044353e+000
3.913430739540749e-003	5.225547e+000
3.914350340129371e-003	5.327729e+000
3.914870105815390e-003	5.377981e+000
3.915198122545377e-003	5.404492e+000
3.915644625503849e-003	5.433332e+000
3.916320192579469e-003	5.466211e+000
3.916966277699559e-003	5.487941e+000
3.917626138624304e-003	5.502312e+000
3.918220077197766e-003	5.510601e+000
3.919134546362139e-003	5.518798e+000
3.920029031897973e-003	5.524063e+000
3.921276151302178e-003	5.528733e+000
3.922649442382225e-003	5.531860e+000
3.924199555443554e-003	5.533215e+000
3.926202277595412e-003	5.531954e+000
3.928456972632605e-003	5.526037e+000
3.932112013302313e-003	5.505895e+000
3.936994825802313e-003	5.458544e+000
3.941877638302313e-003	5.381746e+000
3.945378821977982e-003	5.292665e+000
3.948811986116277e-003	5.151720e+000
3.952475040932155e-003	4.926524e+000
3.955467968391781e-003	4.672791e+000
3.958824145474950e-003	4.318979e+000
3.962020546064001e-003	3.943513e+000
3.963531004541378e-003	3.764315e+000
3.964505920688702e-003	3.657846e+000
3.964964677789317e-003	3.614887e+000
3.965308874494307e-003	3.588261e+000
3.965751200519397e-003	3.561013e+000
3.966420310348423e-003	3.529817e+000
3.966964289515345e-003	3.511892e+000
3.967549840772568e-003	3.499293e+000
3.968346814349697e-003	3.488133e+000
3.969120632271760e-003	3.481212e+000
3.970172234807919e-003	3.475234e+000
3.971225543915300e-003	3.471357e+000
3.972840931571902e-003	3.467891e+000
3.974438600823348e-003	3.466650e+000
3.976291265185514e-003	3.468073e+000
3.978601701230994e-003	3.474487e+000
3.982345450514025e-003	3.495744e+000
3.987228263014025e-003	3.544360e+000
3.992111075514025e-003	3.623015e+000
3.995545179864419e-003	3.712648e+000
3.999007549620876e-003	3.858199e+000
4.002652440307205e-003	4.087052e+000
4.005698681457360e-003	4.349627e+000
4.009062794985077e-003	4.707240e+000
4.011805622342959e-003	5.031274e+000
4.013308835846377e-003	5.212552e+000
4.014195679594031e-003	5.312400e+000
4.014828242383290e-003	5.374906e+000
4.015147101325837e-003	5.401245e+000
4.015620652108950e-003	5.432266e+000
4.016290047179356e-003	5.465337e+000
4.016931136563058e-003	5.487404e+000
4.017498101693827e-003	5.500276e+000
4.018093148974867e-003	5.509106e+000
4.018931397424963e-003	5.517266e+000
4.019876067822849e-003	5.523287e+000
4.021001103811517e-003	5.527890e+000
4.022388173192538e-003	5.531258e+000
4.024357032509983e-003	5.533127e+000
4.026260911018279e-003	5.531911e+000
4.028552336252109e-003	5.525668e+000
4.032265848701576e-003	5.504793e+000
4.037148661201576e-003	5.456610e+000
4.042031473701576e-003	5.378226e+000
4.045589241901583e-003	5.285275e+000
4.049075059664105e-003	5.137965e+000
4.052730427298055e-003	4.906487e+000
4.055821341382684e-003	4.637982e+000
4.059201668019203e-003	4.277095e+000
4.061722915384630e-003	3.978440e+000
4.063222204585618e-003	3.796696e+000
4.064090241537521e-003	3.698393e+000
4.064841491702643e-003	3.623620e+000
4.065158080546690e-003	3.597492e+000
4.065662774890268e-003	3.564677e+000
4.066248783595257e-003	3.535379e+000
4.066773975937589e-003	3.516645e+000
4.067362034572453e-003	3.502417e+000
4.068031152420230e-003	3.491749e+000
4.068892281281767e-003	3.482950e+000
4.069787772273368e-003	3.477073e+000
4.070887267276244e-003	3.472434e+000
4.072234660586307e-003	3.468976e+000
4.074157734399766e-003	3.466925e+000
4.076186698496818e-003	3.467990e+000
4.078431632453778e-003	3.473823e+000
4.082071122807795e-003	3.493775e+000
4.086953935307795e-003	3.540905e+000
4.091836747807795e-003	3.617587e+000
4.095408316260360e-003	3.708585e+000
